Pick'n'place coordinates exported from Keyboard_C64_HotSwap.brd on 21.05.2026 15:38

Value	Name	Footprint	x(inch)	y(inch)	theta	Side
100n	C1	0805	0.869	0.500	90	bot
100n	C2	0805	0.800	0.344	90	bot
100n	C3	0805	1.429	0.409	270	bot
1000u/16V	C4	C30X16L	13.363	0.456	0	bot
22n	C5	0805	0.594	0.237	0	bot
100n	C6	0805	1.598	0.433	0	bot
100n	C7	0805	1.496	0.654	270	bot
100n	C8	0805	1.756	0.433	0	bot
LL4148	D1	SOD80C	0.957	0.882	90	bot
LL4148	D2	SOD80C	14.499	1.778	0	bot
SN74HC74D	IC1	SO-14	1.236	0.465	90	bot
74HC123D	IC2	SO-16	0.675	0.588	90	bot
TL7705ACD	IC3	SO8	1.681	0.591	90	bot
	J1	2X10WH	14.997	2.622	270	bot
	J2	1X05/90	9.902	0.386	270	bot
	J3	1X03/90	0.095	3.095	90	bot
	J4	1X02/90	15.047	0.354	270	bot
	J5	1X04/90	11.881	0.537	270	bot
	J6	1X05/90	12.831	3.567	180	top
	J7	1X04/90	15.047	0.882	270	bot
	J8	1X03/90	15.047	3.457	270	bot
	JP1	CP_CL	2.204	0.363	180	bot
	JP2	CP_CL	8.169	0.488	180	bot
	JP3	CP_OP	13.375	3.239	270	top
PCF8575-MODULE	M1	PCF8575MODUL	12.551	1.476	180	bot
PRO_MICRO	M2	PRO_MICRO	12.831	2.839	0	bot
BC847B	Q1	SOT23	1.448	1.646	0	bot
BC847B	Q3	SOT23	1.076	1.082	180	bot
BC847B	Q5	SOT23	14.380	1.446	90	bot
100R	R1	0805	1.038	1.686	0	bot
10k	R2	0805	1.447	1.536	0	bot
10k	R3	0805	1.316	2.237	0	bot
100k	R4	0805	0.675	0.369	180	bot
10k	R5	0805	1.025	0.300	270	bot
dnp	R6	0805	0.475	0.688	270	bot
10k	R7	0805	0.957	1.055	90	bot
10k	R8	0805	2.941	0.461	270	bot
10k	R9	0805	8.936	0.522	270	bot
10k	R10	0805	12.390	2.689	180	bot
330R	R11	0805	13.305	3.405	270	bot
10k	R12	0805	13.283	2.992	180	bot
10k	R13	0805	13.283	2.886	180	bot
10k	R14	0805	13.280	2.488	180	bot
10k	R15	0805	13.283	2.787	180	bot
470R	R16	0805	12.012	0.588	0	bot
4k7	R18	0805	14.273	1.449	90	bot
33R	R19	0805	14.488	1.547	0	bot
27k	R20	0805	14.488	1.646	0	bot
47k	RN1	RN-9	13.028	1.311	270	bot
RMP-14P/HT	SPK1	RMP-14P/HT	14.843	1.614	0	bot
MXHOTSWAP	SW1	CHERRYMX_HOTSWAP	0.693	3.388	0	top
MXHOTSWAP	SW2	CHERRYMX_HOTSWAP	1.443	3.388	0	top
MXHOTSWAP	SW3	CHERRYMX_HOTSWAP	2.192	3.388	0	top
MXHOTSWAP	SW4	CHERRYMX_HOTSWAP	2.942	3.388	0	top
MXHOTSWAP	SW5	CHERRYMX_HOTSWAP	3.691	3.388	0	top
MXHOTSWAP	SW6	CHERRYMX_HOTSWAP	4.441	3.388	0	top
MXHOTSWAP	SW7	CHERRYMX_HOTSWAP	5.191	3.388	0	top
MXHOTSWAP	SW8	CHERRYMX_HOTSWAP	5.940	3.388	0	top
MXHOTSWAP	SW9	CHERRYMX_HOTSWAP	6.690	3.388	0	top
