Pick'n'place coordinates exported from Keyboard_C64.brd on 11.07.2026 18:37

Value	Name	Footprint	x(mm)	y(mm)	theta	Side
100n	C1	0805	22.066	12.700	90	bot
100n	C2	0805	20.320	8.731	90	bot
100n	C3	0805	36.300	10.400	270	bot
1000u/16V	C4	C30X16L	339.408	11.589	0	bot
100n	C5	0805	15.081	6.033	0	bot
100n	C6	0805	40.600	11.000	0	bot
4u7	C7	0805	38.000	16.600	270	bot
100n	C8	0805	44.600	11.000	0	bot
100n	C9	0805	11.906	14.605	270	bot
LL4148	D1	SOD80C	24.300	22.400	90	bot
LL4148	D2	SOD80C	368.265	45.171	0	bot
SN74HC74D	IC1	SO-14	31.400	11.800	90	bot
74HC123D	IC2	SO-16	17.145	14.923	90	bot
TL7705ACD	IC3	SO8	42.700	15.000	90	bot
	J1	2X10WH	380.930	66.600	270	bot
	J2	1X05/90	251.500	9.800	270	bot
	J3	1X03/90	2.417	78.625	90	bot
	J4	1X02/90	382.200	9.000	270	bot
	J5	1X04/90	301.784	13.652	270	bot
	J6	1X05/90	325.900	90.600	180	top
	J7	1X04/90	382.200	22.400	270	bot
	J8	1X03/90	382.200	87.800	270	bot
	JP1	CP_CL	56.925	12.406	180	bot
	JP2	CP_CL	209.400	12.400	180	bot
	JP3	CP_OP	364.500	83.214	270	top
PCF8575-MODULE	M1	PCF8575MODUL	318.800	37.500	180	bot
PRO_MICRO	M2	PRO_MICRO	325.900	72.100	0	bot
BC847B	Q1	SOT23	36.790	41.820	0	bot
BC847B	Q3	SOT23	29.400	27.000	180	bot
BC847B	Q5	SOT23	365.260	36.735	90	bot
100R	R1	0805	26.370	42.820	0	bot
10k	R2	0805	36.750	39.020	0	bot
10k	R3	0805	33.430	56.820	0	bot
27k	R4	0805	17.145	9.366	180	bot
10k	R5	0805	26.035	7.620	270	bot
10k	R7	0805	24.300	26.800	90	bot
10k	R8	0805	71.805	15.009	180	bot
10k	R9	0805	224.229	14.891	180	bot
10k	R10	0805	314.700	68.300	180	bot
330R	R11	0805	364.300	91.400	270	bot
10k	R12	0805	337.400	76.000	180	bot
10k	R13	0805	337.400	73.300	180	bot
10k	R14	0805	337.300	63.200	180	bot
10k	R15	0805	337.400	70.800	180	bot
470R	R16	0805	305.118	14.923	0	bot
4k7	R18	0805	361.650	38.521	0	bot
33R	R19	0805	368.000	39.300	0	bot
27k	R20	0805	368.000	41.800	0	bot
47k	RN1	RN-9	330.900	33.300	270	bot
RMP-14P/HT	SPK1	RMP-14P/HT	377.000	41.000	0	bot
MX	SW1	CHERRYMX	17.600	86.050	0	top
MX	SW2	CHERRYMX	36.640	86.050	0	top
MX	SW3	CHERRYMX	55.680	86.050	0	top
MX	SW4	CHERRYMX	74.720	86.050	0	top
MX	SW5	CHERRYMX	93.760	86.050	0	top
MX	SW6	CHERRYMX	112.800	86.050	0	top
MX	SW7	CHERRYMX	131.840	86.050	0	top
MX	SW8	CHERRYMX	150.880	86.050	0	top
MX	SW9	CHERRYMX	169.920	86.050	0	top
MX	SW10	CHERRYMX	188.960	86.050	0	top
MX	SW11	CHERRYMX	208.000	86.050	0	top
MX	SW12	CHERRYMX	227.040	86.050	0	top
MX	SW13	CHERRYMX	246.080	86.050	0	top
MX	SW14	CHERRYMX	265.120	86.050	0	top
MX	SW15	CHERRYMX	284.160	86.050	0	top
MX	SW16	CHERRYMX	303.200	86.050	0	top
MX	SW17	CHERRYMX	353.850	86.050	270	top
MX	SW17A	CHERRYMX	349.100	86.050	90	top
MX	SW18	CHERRYMX	27.200	67.000	270	top
MX	SW18A	CHERRYMX	22.450	67.000	90	top
MX	SW19	CHERRYMX	46.240	67.000	0	top
MX	SW20	CHERRYMX	65.280	67.000	0	top
MX	SW21	CHERRYMX	84.320	67.000	0	top
MX	SW22	CHERRYMX	103.360	67.000	0	top
MX	SW23	CHERRYMX	122.400	67.000	0	top
MX	SW24	CHERRYMX	141.440	67.000	0	top
MX	SW25	CHERRYMX	160.480	67.000	0	top
MX	SW26	CHERRYMX	179.520	67.000	0	top
MX	SW27	CHERRYMX	198.560	67.000	0	top
MX	SW28	CHERRYMX	217.600	67.000	0	top
MX	SW29	CHERRYMX	236.640	67.000	0	top
MX	SW30	CHERRYMX	255.680	67.000	0	top
MX	SW31	CHERRYMX	274.720	67.000	0	top
MX	SW32	CHERRYMX	293.760	67.000	90	top
MX	SW32A	CHERRYMX	298.510	67.000	270	top
MX	SW33	CHERRYMX	353.850	67.000	270	top
MX	SW33A	CHERRYMX	349.100	67.000	90	top
MX	SW34	CHERRYMX	12.800	47.950	0	top
MX+LED	SW35	CHERRYMXLD	31.840	47.950	0	top
MX	SW36	CHERRYMX	50.880	47.950	0	top
MX	SW37	CHERRYMX	69.920	47.950	0	top
MX	SW38	CHERRYMX	88.960	47.950	0	top
MX	SW39	CHERRYMX	108.000	47.950	0	top
MX	SW40	CHERRYMX	127.040	47.950	0	top
MX	SW41	CHERRYMX	146.080	47.950	0	top
MX	SW42	CHERRYMX	165.120	47.950	0	top
MX	SW43	CHERRYMX	184.160	47.950	0	top
MX	SW44	CHERRYMX	203.200	47.950	0	top
MX	SW45	CHERRYMX	222.240	47.950	0	top
MX	SW46	CHERRYMX	241.280	47.950	0	top
MX	SW47	CHERRYMX	260.320	47.950	0	top
MX	SW48	CHERRYMX	288.880	47.950	0	top
MX	SW49	CHERRYMX	353.850	47.950	270	top
MX	SW49A	CHERRYMX	349.100	47.950	90	top
MX	SW50	CHERRYMX	12.800	28.900	0	top
MX	SW51	CHERRYMX	41.360	28.900	270	top
MX	SW51A	CHERRYMX	36.610	28.900	90	top
MX	SW52	CHERRYMX	60.400	28.900	0	top
MX	SW53	CHERRYMX	79.440	28.900	0	top
MX	SW54	CHERRYMX	98.480	28.900	0	top
MX	SW55	CHERRYMX	117.520	28.900	0	top
MX	SW56	CHERRYMX	136.560	28.900	0	top
MX	SW57	CHERRYMX	155.600	28.900	0	top
MX	SW58	CHERRYMX	174.640	28.900	0	top
MX	SW59	CHERRYMX	193.680	28.900	0	top
MX	SW60	CHERRYMX	212.720	28.900	0	top
MX	SW61	CHERRYMX	231.760	28.900	0	top
MX	SW62	CHERRYMX	260.320	28.900	270	top
MX	SW62A	CHERRYMX	255.570	28.900	90	top
MX	SW63	CHERRYMX	279.360	28.900	0	top
MX	SW64	CHERRYMX	298.400	28.900	0	top
MX	SW65	CHERRYMX	353.850	28.900	270	top
MX	SW65A	CHERRYMX	349.100	28.900	90	top
MX	SW66	CHERRYMX	141.380	9.850	0	top
MX	SW67	CHERRYMX	65.180	9.850	0	top
MX	SW68	CHERRYMX	217.580	9.850	0	top
OPEN_SOURCE_HW	U$90	OPENHW	311.398	3.265	0	top
	U$92	KCAP_1_5U	349.100	86.050	0	top
	U$93	KCAP_1_5U	349.100	67.000	0	top
	U$94	KCAP_1_5U	349.100	47.950	0	top
	U$95	KCAP_1_5U	349.100	28.900	0	top
	U$96	KCAP_1_5U	255.570	28.900	0	top
	U$97	KCAP_1_5U	22.450	67.000	0	top
	U$98	KCAP_1_5U	36.610	28.900	0	top
	U$99	KCAP_1U	65.180	9.850	0	top
	U$100	KCAP_1U	217.580	9.850	0	top
	U$101	KCAP_1U	17.600	86.050	0	top
	U$102	KCAP_1U	303.200	86.050	0	top
	U$103	KCAP_1U	298.400	28.900	0	top
	U$104	KCAP_7U	141.380	9.850	0	top
	U$105	KCAP_2U	288.880	47.950	0	top
	U$106	KCAP_1_5U	298.510	67.000	0	top
	U$107	KCAP_1U	12.800	47.950	0	top
	U$108	KCAP_1U	12.800	28.900	0	top
	U$109	KCAP_1U	36.640	86.050	0	top
	U$110	KCAP_1U	55.680	86.050	0	top
	U$111	KCAP_1U	74.720	86.050	0	top
	U$112	KCAP_1U	93.760	86.050	0	top
	U$113	KCAP_1U	112.800	86.050	0	top
	U$114	KCAP_1U	131.840	86.050	0	top
	U$115	KCAP_1U	150.880	86.050	0	top
	U$116	KCAP_1U	169.920	86.050	0	top
	U$117	KCAP_1U	188.960	86.050	0	top
	U$118	KCAP_1U	208.000	86.050	0	top
	U$119	KCAP_1U	227.040	86.050	0	top
	U$120	KCAP_1U	246.200	86.050	0	top
	U$121	KCAP_1U	265.120	86.050	0	top
	U$122	KCAP_1U	284.160	86.050	0	top
	U$123	KCAP_1U	46.240	67.000	0	top
	U$124	KCAP_1U	65.280	67.000	0	top
	U$125	KCAP_1U	84.320	67.000	0	top
	U$126	KCAP_1U	103.360	67.000	0	top
	U$127	KCAP_1U	122.400	67.000	0	top
	U$128	KCAP_1U	141.440	67.000	0	top
	U$129	KCAP_1U	160.480	67.000	0	top
	U$130	KCAP_1U	179.520	67.000	0	top
	U$131	KCAP_1U	198.560	67.000	0	top
	U$132	KCAP_1U	217.600	67.000	0	top
	U$133	KCAP_1U	236.640	67.000	0	top
	U$134	KCAP_1U	255.680	67.000	0	top
	U$135	KCAP_1U	274.720	67.000	0	top
	U$136	KCAP_1U	50.880	47.950	0	top
	U$137	KCAP_1U	69.920	47.950	0	top
	U$138	KCAP_1U	88.960	47.950	0	top
	U$139	KCAP_1U	108.000	47.950	0	top
	U$140	KCAP_1U	127.040	47.950	0	top
