Pick'n'place coordinates exported from Keyboard_C64_HotSwap.brd on 11.07.2026 18:42

Value	Name	Footprint	x(mm)	y(mm)	theta	Side
100n	C1	0805	22.066	12.700	90	bot
100n	C2	0805	20.320	8.731	90	bot
100n	C3	0805	36.300	10.400	270	bot
1000u/16V	C4	C30X16L	339.408	11.589	0	bot
100n	C5	0805	15.081	6.033	0	bot
100n	C6	0805	40.600	11.000	0	bot
4u7	C7	0805	38.000	16.600	270	bot
100n	C8	0805	44.600	11.000	0	bot
100n	C9	0805	11.589	16.192	90	bot
LL4148	D1	SOD80C	24.300	22.400	90	bot
LL4148	D2	SOD80C	368.265	45.171	0	bot
SN74HC74D	IC1	SO-14	31.400	11.800	90	bot
74HC123D	IC2	SO-16	17.145	14.923	90	bot
TL7705ACD	IC3	SO8	42.700	15.000	90	bot
	J1	2X10WH	380.930	66.600	270	bot
	J2	1X05/90	251.500	9.800	270	bot
	J3	1X03/90	2.417	78.625	90	bot
	J4	1X02/90	382.200	9.000	270	bot
	J5	1X04/90	301.784	13.652	270	bot
	J6	1X05/90	325.900	90.600	180	top
	J7	1X04/90	382.200	22.400	270	bot
	J8	1X03/90	382.200	87.800	270	bot
	JP1	CP_CL	55.973	9.231	180	bot
	JP2	CP_CL	207.495	12.400	180	bot
	JP3	CP_OP	339.735	82.261	270	top
PCF8575-MODULE	M1	PCF8575MODUL	318.800	37.500	180	bot
PRO_MICRO	M2	PRO_MICRO	325.900	72.100	0	bot
BC847B	Q1	SOT23	36.790	41.820	0	bot
BC847B	Q3	SOT23	27.336	27.476	180	bot
BC847B	Q5	SOT23	365.260	36.735	90	bot
100R	R1	0805	26.370	42.820	0	bot
10k	R2	0805	36.750	39.020	0	bot
10k	R3	0805	33.430	56.820	0	bot
27k	R4	0805	17.145	9.366	180	bot
10k	R5	0805	26.035	7.620	270	bot
10k	R7	0805	24.300	26.800	90	bot
10k	R8	0805	74.699	11.697	270	bot
10k	R9	0805	226.981	13.261	270	bot
10k	R10	0805	314.700	68.300	180	bot
330R	R11	0805	337.947	86.479	270	bot
10k	R12	0805	337.400	76.000	180	bot
10k	R13	0805	337.400	73.300	180	bot
10k	R14	0805	337.300	63.200	180	bot
10k	R15	0805	337.400	70.800	180	bot
470R	R16	0805	305.118	14.923	0	bot
4k7	R18	0805	362.530	36.813	90	bot
33R	R19	0805	368.000	39.300	0	bot
27k	R20	0805	368.000	41.800	0	bot
47k	RN1	RN-9	330.900	33.300	270	bot
RMP-14P/HT	SPK1	RMP-14P/HT	377.000	41.000	0	bot
MXHOTSWAP	SW1	CHERRYMX_HOTSWAP	17.600	86.050	0	top
MXHOTSWAP	SW2	CHERRYMX_HOTSWAP	36.640	86.050	0	top
MXHOTSWAP	SW3	CHERRYMX_HOTSWAP	55.680	86.050	0	top
MXHOTSWAP	SW4	CHERRYMX_HOTSWAP	74.720	86.050	0	top
MXHOTSWAP	SW5	CHERRYMX_HOTSWAP	93.760	86.050	0	top
MXHOTSWAP	SW6	CHERRYMX_HOTSWAP	112.800	86.050	0	top
MXHOTSWAP	SW7	CHERRYMX_HOTSWAP	131.840	86.050	0	top
MXHOTSWAP	SW8	CHERRYMX_HOTSWAP	150.880	86.050	0	top
MXHOTSWAP	SW9	CHERRYMX_HOTSWAP	169.920	86.050	0	top
MXHOTSWAP	SW10	CHERRYMX_HOTSWAP	188.960	86.050	0	top
MXHOTSWAP	SW11	CHERRYMX_HOTSWAP	208.000	86.050	0	top
MXHOTSWAP	SW12	CHERRYMX_HOTSWAP	227.040	86.050	0	top
MXHOTSWAP	SW13	CHERRYMX_HOTSWAP	246.080	86.050	0	top
MXHOTSWAP	SW14	CHERRYMX_HOTSWAP	265.120	86.050	0	top
MXHOTSWAP	SW15	CHERRYMX_HOTSWAP	284.160	86.050	0	top
MXHOTSWAP	SW16	CHERRYMX_HOTSWAP	303.200	86.050	0	top
MXHOTSWAP	SW17	CHERRYMX_HOTSWAP	353.850	86.050	270	top
MXHOTSWAP	SW17A	CHERRYMX_HOTSWAP	349.100	86.050	90	top
MXHOTSWAP	SW18	CHERRYMX_HOTSWAP	27.200	67.000	270	top
MXHOTSWAP	SW18A	CHERRYMX_HOTSWAP	22.450	67.000	90	top
MXHOTSWAP	SW19	CHERRYMX_HOTSWAP	46.240	67.000	0	top
MXHOTSWAP	SW20	CHERRYMX_HOTSWAP	65.280	67.000	0	top
MXHOTSWAP	SW21	CHERRYMX_HOTSWAP	84.320	67.000	0	top
MXHOTSWAP	SW22	CHERRYMX_HOTSWAP	103.360	67.000	0	top
MXHOTSWAP	SW23	CHERRYMX_HOTSWAP	122.400	67.000	0	top
MXHOTSWAP	SW24	CHERRYMX_HOTSWAP	141.440	67.000	0	top
MXHOTSWAP	SW25	CHERRYMX_HOTSWAP	160.480	67.000	0	top
MXHOTSWAP	SW26	CHERRYMX_HOTSWAP	179.520	67.000	0	top
MXHOTSWAP	SW27	CHERRYMX_HOTSWAP	198.560	67.000	0	top
MXHOTSWAP	SW28	CHERRYMX_HOTSWAP	217.600	67.000	0	top
MXHOTSWAP	SW29	CHERRYMX_HOTSWAP	236.640	67.000	0	top
MXHOTSWAP	SW30	CHERRYMX_HOTSWAP	255.680	67.000	0	top
MXHOTSWAP	SW31	CHERRYMX_HOTSWAP	274.720	67.000	0	top
MXHOTSWAP	SW32	CHERRYMX_HOTSWAP	293.760	67.000	90	top
MXHOTSWAP	SW32A	CHERRYMX_HOTSWAP	298.510	67.000	270	top
MXHOTSWAP	SW33	CHERRYMX_HOTSWAP	353.850	67.000	270	top
MXHOTSWAP	SW33A	CHERRYMX_HOTSWAP	349.100	67.000	90	top
MXHOTSWAP	SW34	CHERRYMX_HOTSWAP	12.800	47.950	0	top
MX+LEDHSWP	SW35	CHERRYMX_HSWP_LD	31.840	47.950	0	top
MXHOTSWAP	SW36	CHERRYMX_HOTSWAP	50.880	47.950	0	top
MXHOTSWAP	SW37	CHERRYMX_HOTSWAP	69.920	47.950	0	top
MXHOTSWAP	SW38	CHERRYMX_HOTSWAP	88.960	47.950	0	top
MXHOTSWAP	SW39	CHERRYMX_HOTSWAP	108.000	47.950	0	top
MXHOTSWAP	SW40	CHERRYMX_HOTSWAP	127.040	47.950	0	top
MXHOTSWAP	SW41	CHERRYMX_HOTSWAP	146.080	47.950	0	top
MXHOTSWAP	SW42	CHERRYMX_HOTSWAP	165.120	47.950	0	top
MXHOTSWAP	SW43	CHERRYMX_HOTSWAP	184.160	47.950	0	top
MXHOTSWAP	SW44	CHERRYMX_HOTSWAP	203.200	47.950	0	top
MXHOTSWAP	SW45	CHERRYMX_HOTSWAP	222.240	47.950	0	top
MXHOTSWAP	SW46	CHERRYMX_HOTSWAP	241.280	47.950	0	top
MXHOTSWAP	SW47	CHERRYMX_HOTSWAP	260.320	47.950	0	top
MXHOTSWAP	SW48	CHERRYMX_HOTSWAP	288.880	47.950	0	top
MXHOTSWAP	SW49	CHERRYMX_HOTSWAP	353.850	47.950	270	top
MXHOTSWAP	SW49A	CHERRYMX_HOTSWAP	349.100	47.950	90	top
MXHOTSWAP	SW50	CHERRYMX_HOTSWAP	12.800	28.900	0	top
MXHOTSWAP	SW51	CHERRYMX_HOTSWAP	41.360	28.900	270	top
MXHOTSWAP	SW51A	CHERRYMX_HOTSWAP	36.610	28.900	90	top
MXHOTSWAP	SW52	CHERRYMX_HOTSWAP	60.400	28.900	0	top
MXHOTSWAP	SW53	CHERRYMX_HOTSWAP	79.440	28.900	0	top
MXHOTSWAP	SW54	CHERRYMX_HOTSWAP	98.480	28.900	0	top
MXHOTSWAP	SW55	CHERRYMX_HOTSWAP	117.520	28.900	0	top
MXHOTSWAP	SW56	CHERRYMX_HOTSWAP	136.560	28.900	0	top
MXHOTSWAP	SW57	CHERRYMX_HOTSWAP	155.600	28.900	0	top
MXHOTSWAP	SW58	CHERRYMX_HOTSWAP	174.640	28.900	0	top
MXHOTSWAP	SW59	CHERRYMX_HOTSWAP	193.680	28.900	0	top
MXHOTSWAP	SW60	CHERRYMX_HOTSWAP	212.720	28.900	0	top
MXHOTSWAP	SW61	CHERRYMX_HOTSWAP	231.760	28.900	0	top
MXHOTSWAP	SW62	CHERRYMX_HOTSWAP	260.320	28.900	270	top
MXHOTSWAP	SW62A	CHERRYMX_HOTSWAP	255.570	28.900	90	top
MXHOTSWAP	SW63	CHERRYMX_HOTSWAP	279.360	28.900	0	top
MXHOTSWAP	SW64	CHERRYMX_HOTSWAP	298.400	28.900	0	top
MXHOTSWAP	SW65	CHERRYMX_HOTSWAP	353.850	28.900	270	top
MXHOTSWAP	SW65A	CHERRYMX_HOTSWAP	349.100	28.900	90	top
MXHOTSWAP	SW66	CHERRYMX_HOTSWAP	141.380	9.850	0	top
MXHOTSWAP	SW67	CHERRYMX_HOTSWAP	65.180	9.850	0	top
MXHOTSWAP	SW68	CHERRYMX_HOTSWAP	217.580	9.850	0	top
OPEN_SOURCE_HW	U$90	OPENHW	311.398	2.884	0	top
	U$92	KCAP_1_5U	349.100	86.050	0	top
	U$93	KCAP_1_5U	349.100	67.000	0	top
	U$94	KCAP_1_5U	349.100	47.950	0	top
