"Comment";"Designator";"Footprint";"JLCPCB Part #";"";
"";"JP1, JP2";"CP_CL ";"";"";
"";"JP3";"CP_OP ";"";"";
"";"J4";"1X02/90 ";"";"";
"";"J3, J8";"1X03/90 ";"";"";
"";"J5, J7";"1X04/90 ";"";"";
"";"J2, J6";"1X05/90 ";"";"";
"";"J1";"2X10WH ";"";"";
"1000u/16V";"C4";"C30X16L ";"";"";
"100R";"R1";"0805 ";"";"";
"100k";"R4";"0805 ";"";"";
"100n";"C1, C2, C3";"0805 ";"";"";
"100n";"C6, C7, C8";"0805 ";"";"";
"10k";"R2, R3, R5, R7, R8, R9, R10, R12, R13, R14, R15";"0805 ";"";"";
"22n";"C5";"0805 ";"";"";
"27k";"R20";"0805 ";"";"";
"330R";"R11";"0805 ";"";"";
"33R";"R19";"0805 ";"";"";
"470R";"R16";"0805 ";"";"";
"47k";"RN1";"RN-9 ";"";"";
"4k7";"R18";"0805 ";"";"";
"74HC123D";"IC2";"SO-16 ";"";"";
"BC847B";"Q1, Q3, Q5";"SOT23 ";"";"";
"LL4148";"D1, D2";"SOD80C ";"";"";
"MX+LEDHSWP";"SW35";"CHERRYMX_HSWP_LD ";"";"";
"MXHOTSWAP";"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW17A, SW18, SW18A, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW30, SW31, SW32, SW32A, SW33, SW33A, SW34, SW36, SW37, SW38, SW39, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW49A, SW50, SW51, SW51A, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW60, SW61, SW62, SW62A, SW63, SW64, SW65, SW65A, SW66, SW67, SW68";"CHERRYMX_HOTSWAP ";"";"";
"OPEN_SOURCE_HW";"U$90";"OPENHW ";"";"";
"PCF8575-MODULE";"M1";"PCF8575MODUL ";"";"";
"PRO_MICRO";"M2";"PRO_MICRO ";"";"";
"RMP-14P/HT";"SPK1";"RMP-14P/HT ";"";"";
"SN74HC74D";"IC1";"SO-14 ";"";"";
"TL7705ACD";"IC3";"SO8 ";"";"";
"dnp";"R6";"0805 ";"";"";
